 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Jun/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110001 Alta Floresta D'Oeste";86;86;42705,09;34433,05;-;-;8272,04;-;-;496,57;496,57;257;3,0;2;2,33
"110037 Alto Alegre dos Parecis";30;30;18867,49;15540,07;-;-;3327,42;-;-;628,92;628,92;138;4,6;1;3,33
"110040 Alto Paraíso";43;43;78435,66;68443,16;-;-;9992,50;-;-;1824,09;1824,09;290;6,7;4;9,30
"110034 Alvorada D'Oeste";17;17;31920,91;26743,34;-;-;5177,57;-;-;1877,70;1877,70;201;11,8;2;11,76
"110002 Ariquemes";108;108;239994,84;201373,08;-;-;38621,76;-;-;2222,17;2222,17;775;7,2;7;6,48
"110045 Buritis";66;66;78279,17;64747,51;-;-;13531,66;-;-;1186,05;1186,05;325;4,9;3;4,55
"110003 Cabixi";47;47;28912,50;22012,00;-;-;6900,50;-;-;615,16;615,16;214;4,6;2;4,26
"110060 Cacaulândia";5;5;22662,50;19009,92;-;-;3652,58;-;-;4532,50;4532,50;42;8,4;1;20,00
"110004 Cacoal";375;375;301634,04;239798,02;-;-;61836,02;-;-;804,36;804,36;1704;4,5;13;3,47
"110070 Campo Novo de Rondônia";7;7;19598,84;16879,00;-;-;2719,84;-;-;2799,83;2799,83;34;4,9;1;14,29
"110080 Candeias do Jamari";75;75;348418,00;299915,23;-;-;48502,77;-;-;4645,57;4645,57;717;9,6;8;10,67
"110090 Castanheiras";8;8;15106,76;13043,16;-;-;2063,60;-;-;1888,35;1888,35;79;9,9;1;12,50
"110005 Cerejeiras";56;56;36733,90;27581,27;-;-;9152,63;-;-;655,96;655,96;215;3,8;-;-
"110092 Chupinguaia";21;21;13891,03;8226,61;-;-;5664,42;-;-;661,48;661,48;68;3,2;1;4,76
"110006 Colorado do Oeste";50;50;31099,59;23860,15;-;-;7239,44;-;-;621,99;621,99;172;3,4;2;4,00
"110007 Corumbiara";20;20;16533,80;13249,09;-;-;3284,71;-;-;826,69;826,69;97;4,8;3;15,00
"110008 Costa Marques";23;23;13576,66;9247,83;-;-;4328,83;-;-;590,29;590,29;56;2,4;-;-
"110094 Cujubim";32;32;56897,17;48873,84;-;-;8023,33;-;-;1778,04;1778,04;180;5,6;-;-
"110009 Espigão D'Oeste";130;130;134931,33;113443,63;-;-;21487,70;-;-;1037,93;1037,93;572;4,4;7;5,38
"110100 Governador Jorge Teixeira";5;5;3740,33;2962,14;-;-;778,19;-;-;748,07;748,07;27;5,4;-;-
"110010 Guajará-Mirim";60;60;167921,75;140779,78;-;-;27141,97;-;-;2798,70;2798,70;748;12,5;9;15,00
"110110 Itapuã do Oeste";19;19;39444,22;34977,96;-;-;4466,26;-;-;2076,01;2076,01;143;7,5;3;15,79
"110011 Jaru";46;46;89212,74;74810,60;-;-;14402,14;-;-;1939,41;1939,41;391;8,5;3;6,52
"110012 Ji-Paraná";96;96;237587,23;199542,34;-;-;38044,89;-;-;2474,87;2474,87;635;6,6;10;10,42
"110013 Machadinho D'Oeste";120;120;157038,04;124843,95;-;-;32194,09;-;-;1308,65;1308,65;624;5,2;5;4,17
"110120 Ministro Andreazza";14;14;27909,25;23081,36;-;-;4827,89;-;-;1993,52;1993,52;101;7,2;-;-
"110130 Mirante da Serra";13;13;32170,71;28075,17;-;-;4095,54;-;-;2474,67;2474,67;112;8,6;2;15,38
"110140 Monte Negro";28;28;27699,63;23758,14;-;-;3941,49;-;-;989,27;989,27;185;6,6;-;-
"110014 Nova Brasilândia D'Oeste";34;34;22321,15;17922,48;-;-;4398,67;-;-;656,50;656,50;163;4,8;1;2,94
"110033 Nova Mamoré";33;33;74919,38;62580,22;-;-;12339,16;-;-;2270,28;2270,28;238;7,2;1;3,03
"110143 Nova União";1;1;899,49;841,55;-;-;57,94;-;-;899,49;899,49;7;7,0;-;-
"110050 Novo Horizonte do Oeste";11;11;38260,06;32830,23;-;-;5429,83;-;-;3478,19;3478,19;116;10,5;1;9,09
